	#f_b 	 max kappa_11 	 max kappa_22 	 max kappa_12 	 mean kappa_11 	 mean kappa_22 	 mean kappa_12	 min kappa_11 	 min kappa_22 	 min kappa_12
   2.0284704e-01   8.0315392e-01   7.9890232e-01   5.0480515e-02   7.4806418e-01   7.4545152e-01  -2.1514968e-04   6.6989414e-01   6.6122401e-01  -4.3515955e-02
   2.1106254e-01   7.9154058e-01   7.7231895e-01   3.6427453e-02   7.4017926e-01   7.3639782e-01  -7.6591804e-05   6.6751834e-01   6.6791737e-01  -5.0193631e-02
   2.1832202e-01   7.9328562e-01   7.6823624e-01   5.5665753e-02   7.3266001e-01   7.2795779e-01   7.6533239e-04   6.7095561e-01   6.6246747e-01  -5.5594737e-02
   2.2515021e-01   7.7670691e-01   7.7499171e-01   6.0561209e-02   7.2056062e-01   7.2438923e-01   8.3716232e-04   6.5924542e-01   6.2634794e-01  -4.8817707e-02
   2.3230058e-01   7.6627984e-01   7.6589532e-01   5.1846184e-02   7.1438215e-01   7.1425106e-01   2.2163257e-03   6.4719765e-01   6.2402286e-01  -3.4165859e-02
   2.3834785e-01   7.7076848e-01   7.6870622e-01   4.6391269e-02   7.1050536e-01   7.0604217e-01  -2.8693177e-04   6.0993144e-01   5.8472513e-01  -8.2646780e-02
   2.4463071e-01   7.7397574e-01   7.5694707e-01   4.9105166e-02   7.0139784e-01   7.0292858e-01   1.0561008e-04   6.2826349e-01   6.0147942e-01  -5.5928012e-02
   2.5130153e-01   7.6573640e-01   7.5955583e-01   5.2071441e-02   6.9347723e-01   6.9578752e-01   7.3882486e-04   6.0501086e-01   5.9438646e-01  -5.6091722e-02
   2.5810964e-01   7.3497442e-01   7.4919073e-01   4.9820635e-02   6.8827168e-01   6.8696630e-01   1.7191556e-03   6.1930325e-01   6.2167254e-01  -4.1776607e-02
   2.6439069e-01   7.3414368e-01   7.5128960e-01   5.3251376e-02   6.7995112e-01   6.8080673e-01  -3.3886302e-04   5.9406096e-01   5.7118763e-01  -7.0610115e-02
   2.7115989e-01   7.3750474e-01   7.3404973e-01   7.6950967e-02   6.7152907e-01   6.7580093e-01  -2.7658667e-03   5.5190612e-01   5.9495473e-01  -5.0943769e-02
   2.7839698e-01   7.2279052e-01   7.3061933e-01   2.9447026e-02   6.6736165e-01   6.6735381e-01  -1.6506056e-03   5.6419817e-01   5.8949181e-01  -4.6044723e-02
   2.8461436e-01   7.3077893e-01   7.2791522e-01   4.8382072e-02   6.6165402e-01   6.5784676e-01  -2.0496365e-03   5.7511802e-01   5.3743742e-01  -5.6616977e-02
   2.9083262e-01   7.1923440e-01   7.2245650e-01   5.2488243e-02   6.5575265e-01   6.5666925e-01  -7.6290550e-04   5.7180913e-01   5.7967966e-01  -4.9879227e-02
   2.9694789e-01   7.2765901e-01   7.1721263e-01   3.4906026e-02   6.5138899e-01   6.4365093e-01  -2.5562955e-04   5.7073064e-01   5.2733303e-01  -4.7973545e-02
   3.0351730e-01   7.1016108e-01   7.1379347e-01   4.6972833e-02   6.4053122e-01   6.3931433e-01  -6.3997155e-04   5.5701520e-01   5.2349983e-01  -5.0573019e-02
   3.0972227e-01   7.0802321e-01   7.0561690e-01   5.6906881e-02   6.3816776e-01   6.3196513e-01   1.2112085e-03   5.3302923e-01   4.9291384e-01  -4.5934987e-02
   3.1589193e-01   7.1145607e-01   6.9334434e-01   5.1108722e-02   6.2953844e-01   6.2493234e-01   3.6996559e-04   5.2765232e-01   4.8384865e-01  -4.1092126e-02
   3.2196436e-01   7.1247850e-01   7.2677484e-01   4.8621938e-02   6.2284839e-01   6.1852088e-01  -6.4461467e-04   4.5283592e-01   4.9465750e-01  -6.2023661e-02
   3.2864938e-01   6.9531120e-01   7.2677484e-01   6.3995834e-02   6.1742721e-01   6.1343121e-01  -1.1740684e-04   4.5283592e-01   4.8717447e-01  -5.2856740e-02
   3.3500281e-01   6.8756176e-01   7.0142790e-01   5.4115358e-02   6.1040841e-01   6.0815165e-01   1.1100872e-03   4.9241254e-01   5.1485277e-01  -4.4546293e-02
   3.4154760e-01   6.8810609e-01   6.7894291e-01   4.9621729e-02   6.0502937e-01   6.0390171e-01   2.5936565e-04   5.2851499e-01   4.8326103e-01  -7.0744947e-02
   3.4767827e-01   6.9029557e-01   6.7417111e-01   4.4028680e-02   5.9621640e-01   5.9970179e-01  -9.0517479e-05   4.8693910e-01   4.5245957e-01  -5.4196000e-02
   3.5393146e-01   6.6653783e-01   6.7499055e-01   5.3374229e-02   5.9026716e-01   5.9460864e-01  -2.2182179e-03   4.7961722e-01   5.0069893e-01  -6.1989016e-02
   3.6057757e-01   6.6949486e-01   6.9276449e-01   7.8840754e-02   5.8711836e-01   5.8502792e-01   9.2464774e-04   4.3932070e-01   4.5456196e-01  -6.3209720e-02
   3.6769938e-01   6.7619409e-01   6.6618618e-01   4.4796333e-02   5.8312101e-01   5.7938443e-01   5.5023084e-04   4.7464439e-01   4.4422767e-01  -3.6182746e-02
   3.7445145e-01   6.6478285e-01   6.6815007e-01   5.3832004e-02   5.6831028e-01   5.7755918e-01  -9.4258839e-04   4.6709299e-01   4.7989355e-01  -5.1868210e-02
   3.8068502e-01   6.4032019e-01   6.5012606e-01   5.2658032e-02   5.6779026e-01   5.6589438e-01   8.0199762e-04   4.7317645e-01   4.8843804e-01  -6.3796506e-02
   3.8679785e-01   6.3552887e-01   6.3076963e-01   4.1811441e-02   5.5767544e-01   5.6292285e-01  -2.0601143e-03   4.6657210e-01   4.7233173e-01  -8.1077913e-02
