#circles #f_b 	 kappa_11 	 kappa_22 	 kappa_12 		 #rectangles #f_b 	 kappa_11 	 kappa_22 	 kappa_12 		
   3.3965625e-01   6.3253846e-01   6.2731185e-01  -2.0878073e-03	   5.9041250e-01   3.4654074e-01   4.4653988e-01  -3.0972677e-03
   5.1140625e-01   4.8408490e-01   4.8380224e-01  -2.0677739e-02           2.2181250e-01   7.0776974e-01   7.4145198e-01  -4.2885989e-03
   7.0673125e-01   3.0468872e-01   3.4598461e-01   3.2290310e-03           5.5046250e-01   4.1990627e-01   4.4838320e-01   7.5539527e-03
   2.1990625e-01   7.4660368e-01   7.3600174e-01   1.0913746e-02           3.1371875e-01   6.5100888e-01   5.7587613e-01  -4.2990666e-03
   5.4029375e-01   3.8470527e-01   4.6773461e-01   5.0842800e-03           5.5898125e-01   4.0390396e-01   4.3936835e-01   9.7062406e-03
   7.2510000e-01   3.0130453e-01   3.2915567e-01  -1.2665522e-03           5.8029375e-01   3.9237592e-01   3.9444001e-01  -7.0935561e-03
   7.2866875e-01   2.9519284e-01   3.0699951e-01   3.8794865e-03           2.2873750e-01   7.1403422e-01   7.0790472e-01  -3.3672701e-04
   3.5518750e-01   6.0893521e-01   6.1862302e-01  -9.3473266e-03           7.0030000e-01   3.2482925e-01   3.1335034e-01   5.2670056e-03
   7.5945000e-01   2.8144774e-01   3.1333751e-01   2.0614037e-02           5.8314375e-01   4.0739908e-01   3.9616585e-01   5.2651014e-04
   3.4878125e-01   6.3344134e-01   5.5060245e-01   1.7465066e-02           7.0535000e-01   3.2941722e-01   3.0552614e-01   7.5334653e-03
   7.7058125e-01   2.7055398e-01   2.8852579e-01  -7.1063962e-03           6.8898750e-01   3.3577500e-01   3.3435697e-01  -1.0442940e-02
   8.0546875e-01   2.5288861e-01   3.1395895e-01  -8.4903815e-03           6.6188125e-01   3.7474950e-01   3.2624034e-01   9.0691362e-04
   4.7634375e-01   5.4697852e-01   4.3215912e-01  -1.0477580e-02           7.1356875e-01   3.1111294e-01   3.2515037e-01   1.1048861e-02
   7.9516250e-01   3.0666477e-01   2.5171493e-01  -2.5375878e-03           5.4201875e-01   4.0427105e-01   4.3682312e-01  -1.9901594e-02
   7.6198750e-01   3.1460883e-01   2.7101338e-01  -4.4597991e-03           7.0026250e-01   3.1521408e-01   3.3184062e-01  -1.0960043e-02
   6.7058125e-01   2.8678770e-01   4.3899716e-01   8.6293758e-04           6.8485000e-01   3.2891489e-01   3.2354277e-01   6.0269699e-03
   2.9126250e-01   6.9787016e-01   6.2853356e-01  -2.2270698e-02           4.3193750e-01   5.4066057e-01   5.0370924e-01  -1.2390305e-02
   8.0431875e-01   2.6837972e-01   2.8885683e-01   4.6416726e-03           5.3741875e-01   3.8512455e-01   4.7890409e-01   3.6740599e-03
   2.3975625e-01   7.5889547e-01   6.3453302e-01  -1.0394726e-02           2.7617500e-01   6.5533186e-01   6.8887850e-01  -4.5601212e-03
   3.6729375e-01   5.7869580e-01   6.0868103e-01   4.6416115e-04           6.7998750e-01   3.2980814e-01   3.2713500e-01  -1.1724813e-02
   5.0809375e-01   4.9297181e-01   4.4250993e-01   8.2075388e-03           2.9740000e-01   6.5903995e-01   6.1554334e-01   1.7170025e-02
   2.3440000e-01   7.5014752e-01   6.9568627e-01  -1.5126389e-02           4.2851875e-01   4.9919734e-01   5.3842851e-01   2.6887862e-02
   3.7878750e-01   6.0320426e-01   5.1445836e-01   3.1094279e-02           8.0775625e-01   2.6868772e-01   2.8107460e-01  -1.5115062e-02
   6.2258125e-01   3.2694981e-01   4.3427269e-01  -4.5370832e-03           7.6251250e-01   2.8293369e-01   3.0742336e-01   2.7752988e-03
   6.9698125e-01   3.4437664e-01   3.4237504e-01  -4.4878966e-03           7.8831875e-01   2.8008461e-01   2.7480739e-01   1.2103784e-03
   6.1916250e-01   4.1666267e-01   3.3055421e-01   1.0943997e-02           6.2736875e-01   3.7377311e-01   3.4953839e-01  -1.3177149e-02
   4.3090625e-01   5.3285626e-01   5.6249671e-01  -2.3938170e-04           5.3454375e-01   4.3811864e-01   4.0894498e-01  -8.4405172e-03
   8.1646250e-01   2.7569248e-01   2.6135671e-01  -6.8141113e-03           5.1435000e-01   4.3162892e-01   4.5535324e-01   6.3557512e-03
   4.8505625e-01   5.2956941e-01   4.7465182e-01  -9.9802517e-03           7.2407500e-01   3.1225604e-01   3.1099337e-01  -2.0825941e-03
   3.1202500e-01   5.8848083e-01   6.9109717e-01   1.6438933e-02           5.7668125e-01   4.1781371e-01   3.7220973e-01  -1.3124341e-02
   7.1266875e-01   3.3475568e-01   3.2964412e-01   1.0731622e-02           3.2985625e-01   6.1902796e-01   6.0474320e-01   1.4895063e-02
   8.1380625e-01   2.7568009e-01   2.5613016e-01   9.9580490e-03           7.3571250e-01   2.9722010e-01   3.1771596e-01  -3.3479776e-03
   4.4671250e-01   4.8442144e-01   5.1880694e-01   3.0279049e-02           7.9908125e-01   2.6366303e-01   2.8943639e-01   3.0449657e-03
   3.9180625e-01   5.3401537e-01   6.0069690e-01  -4.0673648e-03           3.2726875e-01   6.0567520e-01   6.2773747e-01  -1.9289160e-02
   7.6304375e-01   2.8426114e-01   2.9999894e-01  -7.6526039e-03           3.8220625e-01   6.0008632e-01   4.9262768e-01   2.5080393e-02
   5.9391250e-01   4.1331735e-01   4.1220447e-01   2.4233252e-02           3.7016875e-01   5.8280994e-01   5.6507402e-01   2.9346953e-02
   2.4027500e-01   7.3719471e-01   6.6920223e-01   1.7579567e-02           6.2321875e-01   3.7541838e-01   3.7317967e-01   3.1729077e-03
   2.6265000e-01   6.6336493e-01   7.2110386e-01   9.9243991e-03           4.2032500e-01   4.9620075e-01   5.6019180e-01   3.8314103e-03
   2.4904375e-01   7.1467311e-01   7.1535348e-01   2.3091834e-05           6.2243125e-01   3.6840268e-01   3.7752181e-01  -1.1968500e-02
   2.1868125e-01   7.6316944e-01   7.1541632e-01  -7.8064894e-03           4.1395000e-01   5.7265153e-01   4.8571003e-01  -1.8578483e-02
   6.8458125e-01   3.9870609e-01   2.9521475e-01   6.5427632e-03           5.6927500e-01   4.2630737e-01   3.9046264e-01  -1.0093231e-02
   5.3942500e-01   4.4540308e-01   4.6182176e-01   1.6555076e-02           5.2597500e-01   4.1668995e-01   4.5168859e-01   2.8875750e-02
   6.3173125e-01   3.9884042e-01   3.8854500e-01  -1.4164053e-02           5.0047500e-01   4.7642297e-01   4.2989913e-01  -1.2168148e-02
   8.0880000e-01   2.7072756e-01   2.6624435e-01  -5.5796413e-04           5.1980000e-01   4.2604813e-01   4.5119045e-01  -5.5845476e-03
   7.2498125e-01   3.8790983e-01   2.7133690e-01   9.2678367e-04           6.9095625e-01   3.4549501e-01   3.2191502e-01  -6.6476045e-03
   6.0275625e-01   4.2966865e-01   4.1055229e-01   1.2720442e-02           7.8745000e-01   2.7728112e-01   2.9485796e-01  -1.0323877e-02
